Time,Source User,Target User,Computer,Auth Type,Logon Type,Orientation,Status
2026-04-25T08:03:02.548Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:03:02.855Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:19:41.718Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:22:09.507Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:28:26.481Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:29:15.684Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:40:45.086Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:41:17.123Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:44:04.059Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-04-25T08:45:39.257Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T08:45:39.398Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T08:45:39.425Z,PC,CodexSandboxOffline,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-04-25T08:45:40.016Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T08:45:40.155Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-04-25T08:45:40.190Z,,CodexSandboxOffline,DESKTOP-C332RF6,,2,LogOff,LogOff
