Time,Source User,Target User,Computer,Auth Type,Logon Type,Orientation,Status
2026-03-06T01:41:02.848Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T01:45:46.302Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T01:47:32.690Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T01:53:45.835Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T01:53:46.033Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T01:53:48.435Z,DESKTOP-C332RF6$,UMFD-33,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-06T01:53:48.472Z,DESKTOP-C332RF6$,DWM-33,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-06T01:53:48.472Z,DESKTOP-C332RF6$,DWM-33,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-06T01:53:48.528Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T01:53:57.261Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T01:53:57.566Z,,UMFD-32,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-03-06T01:53:58.534Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:01:02.627Z,,DWM-32,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-03-06T10:01:02.627Z,,DWM-32,DESKTOP-C332RF6,,2,LogOff,LogOff
2026-03-06T10:01:04.667Z,DESKTOP-C332RF6$,PC,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-06T10:01:04.667Z,DESKTOP-C332RF6$,PC,DESKTOP-C332RF6,Negotiate,2,LogOn,Success
2026-03-06T10:01:06.930Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:01:14.291Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:01:14.988Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:02:49.697Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:04:33.031Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:04:33.106Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:04:34.098Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:06:43.785Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:07:01.547Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
2026-03-06T10:07:02.221Z,DESKTOP-C332RF6$,SYSTEM,DESKTOP-C332RF6,Negotiate,5,LogOn,Success
